table_name,comment,Arabic comment,English comment
IAS_ARCHIVES_MST_BR,,,
IAS_AR_CNCRT_DTL,ãæÇÕÝÇÊ ÇáÎÑÓÇäÉ,مواصفات الخرسانة,Concrete specifications
IAS_AR_CNCRT_DTL1,,,
IAS_AR_CNTRCT_BTCH,,,
IAS_AR_CNTRCT_DTL,,,
IAS_AR_CNTRCT_MST,,,
IAS_AR_CNTRCT_RENEW,,,
IAS_AR_GET_DISC_TMP,ÎÕã ãÈíÚÇÊ -ãÄÞÊ,خصم مبيعات -مؤقت,Sales discount
IAS_AR_ITM_DISC_AGE_TMP,ÅÍÕÇÆíÇÊ,إحصائيات,statistics
IAS_AR_ITM_DISC_TMP,ÅÍÕÇÆíÇÊ,إحصائيات,statistics
IAS_AR_ITM_DISC_TMP_NW,äÞá ÇáÈíÇäÇÊ,نقل البيانات,Data transfer
IAS_AR_ITM_DISC_XLS_TMP,,,
IAS_AR_ITM_SALES_EXP_TMP,,,
IAS_AR_TYPS,ÇáÊÑãíÒÇÊ ÇáÚÇãÉ,الترميزات العامة,General corsets
IAS_AR_WH_TMP,ãÈíÚÇÊ ãÎÒæä-ãÄÞÊ,مبيعات مخزون-مؤقت,Stock-timer stock sales
IAS_ASSCTN_ACCNT,,,
IAS_ASSCTN_TRNS,ÍÑßÉ ÇáÊÈÑÚÇÊ,حركة التبرعات,Donation
IAS_ASSEMBLE_ITM_EXPND,ÌÏæá ãÕÇÑíÝ ÇáÃÕäÇÝ ÇáãÑßÈÉ,جدول مصاريف الأصناف المركبة,Schedule for compound varieties
IAS_ASSISTANT_GROUP,ÇáãÌãæÚÇÊ ÇáãÓÇÚÏÉ,المجموعات المساعدة,Auxiliary groups
IAS_ATTACH_DTL,ÊÑãíÒ ÇáãÑÝÞÇÊ,ترميز المرفقات,Coding attachments
IAS_ATTACH_DTL_OLD,,,
IAS_ATTACH_MST,ÊåÆíÉ ÇáãÑÝÞÇÊ,تهئية المرفقات,Creating attachments
IAS_ATTACH_MST_OLD,,,
IAS_AUDIT_DOC,,,
IAS_AUD_ACC_DTL,ÑÞÇÈÉ ÇáÞíæÏ æÇáÓäÏÇÊ - ÊÍáíáí,رقابة القيود والسندات - تحليلي,Supervision of restrictions and bonds - analytical
IAS_AUD_ACC_MST,ÑÞÇÈÉ ÇáÞíæÏ æÇáÓäÏÇÊ - ÑÆíÓí,رقابة القيود والسندات - رئيسي,Settlement and bond control - main
IAS_AUD_HIST,ÑÞÇÈÉ ÇáÊåíÆÉ æ ÇáãÏÎáÇÊ,رقابة التهيئة و المدخلات,Control of preparation and inputs
IAS_AUD_HIST1,,,
IAS_AUD_ITM_DTL,ÑÞÇÈÉ ÇáÚãáíÇÊ - ÊÍáíáí,رقابة العمليات - تحليلي,Operations control - analytical
IAS_AUD_ITM_MST,ÑÞÇÈÉ ÇáÚãáíÇÊ - ÑÆíÓí,رقابة العمليات - رئيسي,Operations control - main
IAS_AUD_ITM_OTHR_DTL,ÑÞÇÈÉ ÇáÚãáíÇÊ ÛíÑ ÇáãÇáíÉ - ÊÍáíáí,رقابة العمليات غير المالية - تحليلي,Non -financial operations control - analytical
IAS_AUD_ITM_OTHR_MST,ÑÞÇÈÉ ÇáÚãáíÇÊ ÛíÑ ÇáãÇáíÉ,رقابة العمليات غير المالية,Non -financial operations control
IAS_AUD_LMT_EXD,ÑÞÇÈÉ ÍÏæÏ ÇáÍÓÇÈÇÊ æÇáãÑÇßÒ,رقابة حدود الحسابات والمراكز,Control of the limits of accounts and centers
IAS_AUD_PRNT_REP,ÑÞÇÈÉ ÇáÊÞÇÑíÑ,رقابة التقارير,Reports control
IAS_AUD_RPT_TMP,ÌÏæá ÇÚãÏÉ ÊÞÇÑíÑ ÑÞÇÈÉ ÇáÅÖÇÝÉ,جدول اعمدة تقارير رقابة الإضافة,Schedule of adding monitoring reports
IAS_AUTHRZ_CSTMR,,,
IAS_AVG_FRM_SALS_TMP,,,
IAS_BANK_ADJUST_DTL,ÊÓæíÇÊ ÇáÈäæß - ÊÍáíáí,تسويات البنوك - تحليلي,Bank settlements - analytical
IAS_BANK_ADJUST_MST,,,
IAS_BANK_GROUP,ãÌãæÚÉ ÇáÈäæß,مجموعة البنوك,Banque Group
IAS_BATCH_NO,,,
IAS_BATCH_NO_CONTENTS,,,
IAS_BATCH_NO_CONTENTS_MST,,,
IAS_BDGT_BLNC_CLMN_DTL,,,
IAS_BDGT_BLNC_DTL,,,
IAS_BDGT_BLNC_MST,ÇáãæÇÒäÉ ÇáÊÞÏíÑíÉ,الموازنة التقديرية,Estimated budget
IAS_BENEFICIARIES,ÇáÌåÇÊ ÇáãÓÊÝíÏÉ ãä ÇáÊÃãíä,الجهات المستفيدة من التأمين,The beneficiaries of insurance
IAS_BEST_QUOT_DTL,,,
IAS_BEST_QUOT_MST,,,
IAS_BILL_ADD_DISC_BILLS,,,
IAS_BILL_ADD_DISC_DTL_MLT_OLD,ÇáÎÕã ÇáÅÖÇÝí - ÑÆíÓí,الخصم الإضافي - رئيسي,Additional deduction - main
IAS_BILL_ADD_DISC_SUBDTL_MLOLD,ÇáÎÕã ÇáÅÖÇÝí - ÊÍáíáí,الخصم الإضافي - تحليلي,Additional deduction - analytical
IAS_BILL_CPN,ãÈíÚÇÊ ÇáßæÈæäÇÊ - ÊÍáíáí,مبيعات الكوبونات - تحليلي,Coupees sales - analytical
IAS_BILL_CPN_BR,ßæÈæäÇÊ ÝÇÊæÑÉ ÇáãÈíÚÇÊ,كوبونات فاتورة المبيعات,Sales bill coupons
IAS_BILL_DTL,ÝæÇÊíÑ ÇáãÈíÚÇÊ - ÊÍáíáí,فواتير المبيعات - تحليلي,Sales bills - analytical
IAS_BILL_DTL_ADD_DISC,,,
IAS_BILL_DTL_ADD_DISC2,,,
IAS_BILL_DTL_ADD_DISC_MLT,,,
IAS_BILL_DTL_ADD_DISC_RQ,Detail -  ØáÈÇÊ ÇáÎÕã ÇáÅÖÇÝí,Detail -  طلبات الخصم الإضافي,Detail - Additional Discount Requests
IAS_BILL_DTL_BKTMP,ÌÏæá ãÄÞÊ áÍÑßÉ ÇáãÈíÚÇÊ,جدول مؤقت لحركة المبيعات,A temporary schedule for sales movement
IAS_BILL_DTL_BR,,,
IAS_BILL_DTL_DOC_REF,ÇáæËÇÆÞ ÇáãÑÌÚíÉ áÝÇÊæÑÉ ÇáãÈíÚÇÊ,الوثائق المرجعية لفاتورة المبيعات,Reference documents for the sales bill
IAS_BILL_DTL_ITM_TMP,,,
IAS_BILL_DTL_ITM_TMP_2,,,
IAS_BILL_DTL_POS_TMP,,,
IAS_BILL_DTL_POS_TMP2,,,
IAS_BILL_DTL_POS_TMP3,,,
IAS_BILL_EXPIRE_DTL,ÕÑÝ ÊæÇáÝ - ÊÍáíáí,صرف توالف - تحليلي,Excellence - analytical
IAS_BILL_EXPIRE_MST,ÕÑÝ ÊæÇáÝ - ÑÆíÓí,صرف توالف - رئيسي,Excavation of the - main - main
IAS_BILL_MST,ÝæÇÊíÑ ÇáãÈíÚÇÊ - ÑÆíÓí,فواتير المبيعات - رئيسي,Sales bills - main
IAS_BILL_MST_ADD_DISC,,,
IAS_BILL_MST_ADD_DISC2,,,
IAS_BILL_MST_ADD_DISC_MLT,ÇáÎÕã ÇáÅÖÇÝí ÇáãÊÚÏÏ - ÑÆíÓí,الخصم الإضافي المتعدد - رئيسي,Multiple additional discount - main
IAS_BILL_MST_ADD_DISC_RQ,,,
IAS_BILL_MST_BR,ÝæÇÊíÑ ÇáãÈíÚÇÊ - ÑÆíÓí,فواتير المبيعات - رئيسي,Sales bills - main
IAS_BILL_MST_BR_TMP,,,
IAS_BILL_MST_EXTND,ÝæÇÊíÑ ÇáãÈíÚÇÊ - ÑÆíÓí - ÊÝÇÕíá ÇÖÇÝíå,فواتير المبيعات - رئيسي - تفاصيل اضافيه,Sales bills - main - additional details
IAS_BILL_MST_EXTND_BR,,,
IAS_BILL_MST_OUT_PRD_TMP,,,
IAS_BILL_MST_POS_TMP,,,
IAS_BILL_MST_TMP,,,
IAS_BILL_MST_TMP1,,,
IAS_BILL_MST_TMP2,,,
IAS_BILL_SUBDTL_ADD_DISC_MLT,,,
IAS_BNFCRS,ÇáÌåÇÊ ÇáãÓÊÝíÏÉ ãä ÇáÊÃãíä,الجهات المستفيدة من التأمين,The beneficiaries of insurance
IAS_BRN_YEARS_TEMP,ÇáÑÈØ ãÚ ÓäÉ ÓÇÈÞÉ,الربط مع سنة سابقة,Connecting with a previous year
IAS_CALC_COMM_DTL,ÅÍÊÓÇÈ ÚãæáÇÊ ÇáÚãáÇÁ - ÊÍáíáí,إحتساب عمولات العملاء - تحليلي,Customer commissions calculation - analysis
IAS_CALC_COMM_MST,ÅÍÊÓÇÈ ÚãæáÇÊ ÇáÚãáÇÁ - ÑÆíÓí,إحتساب عمولات العملاء - رئيسي,Customer commissions calculation - major
IAS_CARD_SAL,,,
IAS_CARD_SAL_BFRMVPOS,,,
IAS_CARD_SAL_DISC_TYP,ÇäæÇÚ ÈØÇÆÞ ÇáÎÕã,انواع بطائق الخصم,Types of discount cards
IAS_CARD_SAL_DTL,,,
IAS_CARGO_SERVICES,ÈíÇäÇÊ ÇáÔÍä - ãÈíÚÇÊ,بيانات الشحن - مبيعات,Shipping data - sales
IAS_CARGO_SERVICES_BR,ÈíÇäÇÊ ÇáÔÍä - ãÈíÚÇÊ,بيانات الشحن - مبيعات,Shipping data - sales
IAS_CASHMNU_MST,,,
IAS_CASH_AT_BANK_BRN,ÝÑæÚ ÇáÈäæß,فروع البنوك,Bank branches
IAS_CASH_AT_BANK_CHEQ,,,
IAS_CASH_AT_BANK_DTL,,,
IAS_CASH_CUSTMR,ÚãáÇÁ äÞÏÇ,عملاء نقدا,Customers in cash
IAS_CASH_CUSTMR_BRN,,,
IAS_CASH_CUSTMR_GRP,,,
IAS_CASH_CUSTMR_POINT_TRACE,,,
IAS_CASH_GROUP,ãÌãæÚÇÊ ÇáÕäÇÏíÞ,مجموعات الصناديق,Fund groups
IAS_CASH_IN_HAND_DTL,,,
IAS_CASH_MAN_DTL,ÌÑÏ ÇáäÞÏíÉ - ÊÍáíáí,جرد النقدية - تحليلي,Critical inventory - analytical
IAS_CASH_MAN_MST,ÌÑÏ ÇáäÞÏíÉ - ÑÆíÓí,جرد النقدية - رئيسي,Cash inventory - main
IAS_CC_PJ,,,
IAS_CC_TREE,ÔÌÑÉ ãÑÇßÒ ÇáÊßáÝÉ áÊÞÇÑíÑ ÇáãíÒÇä,شجرة مراكز التكلفة لتقارير الميزان,Cost centers tree for Libra reports
IAS_CHECK_INCM_DTL,ÝÍÕ ÇáãÔÊÑíÇÊ ÊÍáíáí,فحص المشتريات تحليلي,Analytical purchasing examination
IAS_CHECK_INCM_MST,,,
IAS_CHEQ_TRACE,ÊÊÈÚ ÇáÔíßÇÊ,تتبع الشيكات,Follow checks
IAS_CHK_DOC_INOUT_QTY_DTL,ÝÍÕ ÇáßãíÇÊ-ÏíÊíá,فحص الكميات-ديتيل,Culture examination-Detil
IAS_CHK_DOC_INOUT_QTY_MST,ÝÍÕ ÇáßãíÇÊ-ãÇÓÊÑ - ãÇÓÊÑ,فحص الكميات-ماستر - ماستر,Cmants examination - Master - Master
IAS_CHK_DOC_INOUT_QTY_MST2,,,
IAS_CHK_DOC_INOUT_QTY_TMP,,,
IAS_CITY_DISTANCE,ÇáãÓÇÝÇÊ Èíä ÇáãÏä,المسافات بين المدن,The distances between cities
IAS_CLMN_DTL_GL,ÇáÃÚãÏÉ ÇáãÎÊÇÑÉ,الأعمدة المختارة,The chosen columns
IAS_CLMN_REP_GL,,,
IAS_CLOSE_DAY_PERIODS,ÇáÅÞÝÇá Çáíæãí áÝÑæÞ ÇáÚãáÉ,الإقفال اليومي لفروق العملة,Daily closing of currency differences
IAS_CMPNS_QTY_CLC_DTL,ãäÍ ÇáßãíÇÊ ÇáÊÚæÏíÖíÉ - ÊÍáíáí,منح الكميات التعوديضية - تحليلي,Granting reinforced quantities - analytical
IAS_CMPNS_QTY_CLC_MST,ãäÍ ÇáßãíÇÊ ÇáÊÚæÏíÖíÉ - ÑÆíÓí,منح الكميات التعوديضية - رئيسي,Granting reinforced quantities - major
IAS_CMPNS_QTY_CLC_SUB_DTL,ØáÈ ãäÍ ÇáßãíÇÊ ÇáÊÚæíÖíÉ -ÝÑÚí,طلب منح الكميات التعويضية -فرعي,Request to grant compensatory quantities -my branch
IAS_CMPNS_QTY_CLC_TMP,,,
IAS_CMPNS_QTY_STP_DTL,,,
IAS_CMPNS_QTY_STP_MST,ÊÑãíÒ ÇáßãíÇÊ ÇáÊÚæÏíÖíÉ - ÊÍáíáí,ترميز الكميات التعوديضية - تحليلي,Coding the reinforced quantities - analytical
IAS_CMPNS_QTY_TMP,ÌÏæá ãÄÞÊ ÅÍÊÓÇÈ ÇáßãíÇÊ ÇáÊÚæíÖíÉ,جدول مؤقت إحتساب الكميات التعويضية,A temporary schedule calculating compensatory quantities
IAS_CMPNS_QTY_TMP1,,,
IAS_CMPTN_PRICE_LST_DTL,ÞæÇÆã ÇÓÚÇÑ ÇáãäÇÝÓíä ÊÍáíáí,قوائم اسعار المنافسين تحليلي,Prices of competitors are analytical
IAS_CMPTN_PRICE_LST_MST,ÞæÇÆã ÇÓÚÇÑ ÇáãäÇÝÓíä ÑÆíÓí,قوائم اسعار المنافسين رئيسي,Prices of competitors are major
IAS_CNCRT_DTL,ãæÇÕÝÇÊ ÇáÎÑÓÇäÉ,مواصفات الخرسانة,Concrete specifications
IAS_CNTR_SRL_TMP,,,
IAS_CODE_CNDTIONS,ÔÑæØ ÇáÊÚÇÞÏ ááãÈíÚÇÊ,شروط التعاقد للمبيعات,Conditions for contracting sales
IAS_COLLECTION_PLAN,ãÎØØ ÇáÊÍÕíá,مخطط التحصيل,Collection
IAS_COLLECTION_PLAN_MST,ãÎØØ ÇáãÍÕáíä - ãÇÓÊÑ,مخطط المحصلين - ماستر,The scheme of the colleagues - Master
IAS_COLLECTOR_TYPES,ÇäæÇÚ ÇáãÍÕáíä,انواع المحصلين,Types of the consequences
IAS_COL_COMM_ALL_TMP,,,
IAS_COL_COMM_TMP,,,
IAS_COL_COMM_TMP1,,,
IAS_COL_COM_CALC_DTL,ÅÍÊÓÇÈ ÇáÚãæáÇÊ,إحتساب العمولات,Reckoning
IAS_COL_COM_CALC_MST,ÅÍÊÓÇÈ ÇáÚãæáÇÊ,إحتساب العمولات,Reckoning
IAS_COL_COM_CALC_SUB_DTL,ÚãæáÇÊ ÇáãÍÕáíä - ÊÝÕíáí,عمولات المحصلين - تفصيلي,Gallers commissions - detailed
IAS_COL_COM_STP_DTL,ÊÑãíÒ ÇáÚãæáÇÊ,ترميز العمولات,Crossing commissions
IAS_COL_COM_STP_DTL22,,,
IAS_COL_COM_STP_MST,ÊÑãíÒ ÇáÚãæáÇÊ,ترميز العمولات,Crossing commissions
IAS_COL_DR_CST_DTL,,,
IAS_COL_DR_CST_MST,,,
IAS_COL_IMP_EXL_TMPLT,,,
IAS_COL_TMP,,,
IAS_COMM_CR_CARD_BANK,,,
IAS_COMP_TMP,ÊÞÑíÑ ÇáãÞÇÑäÉ - ãÈíÚÇÊ,تقرير المقارنة - مبيعات,Comparison Report - Sales
IAS_COMP_VERT_TMP,ÊÞÑíÑ ÇáãÞÇÑäÉ - ãÈíÚÇÊ,تقرير المقارنة - مبيعات,Comparison Report - Sales
IAS_CONN_ACC_INV_BY_GL,ÑíØ ÍÓÇÈÇÊ ÇáãÎÒæä ÈÇáÃÓÊÇÐ ÇáÚÇã,ريط حسابات المخزون بالأستاذ العام,Connecting stock accounts to the general professor
IAS_CONN_AC_BRN,,,
IAS_CONN_AC_DOC_BRN,,,
IAS_CONN_CC_BRN,,,
IAS_CONN_GRP_ITM_TYPE,ÑÈØ ÇáãÌãæÚÇÊ ÈÃäæÇÚ ÇáÃÕäÇÝ,ربط المجموعات بأنواع الأصناف,Connecting groups to the types of items
IAS_CONN_ITM_MSUR_UNT,ÌÏæá æÍÏÇÊ ÇáÕäÝ ÇáÌÒÆíÉ,جدول وحدات الصنف الجزئية,Schedule of partial category units
IAS_CONN_VNDR_BY_WCODE,ÑÈØ ÇáãæÑÏíä ÈÇáãÎÇÒä,ربط الموردين بالمخازن,Connect suppliers with stores
IAS_CONN_WCODE_BY_ACTIVITY,,,
IAS_CONTACT_MAN,Ïáíá ÇáÚäÇæíä,دليل العناوين,Address guide
IAS_CPN_DTL,ÈíÇäÇÊ ÇáßæÈæäÇÊ - ÊÍáíáí,بيانات الكوبونات - تحليلي,Counseling data - analysis
IAS_CPN_MST,ÈíÇäÇÊ ÇáßæÈæäÇÊ - ÑÆíÓí,بيانات الكوبونات - رئيسي,Counseling data - main
IAS_CPN_TYP_DTL,ÇäæÇÚ ÇáßæÈæäÇÊ - ÊÍáíáí,انواع الكوبونات - تحليلي,Types of coupons - analytical
IAS_CPN_TYP_MST,ÅäæÇÚ ÇáßæÈæäÇÊ - ÑÆíÓí,إنواع الكوبونات - رئيسي,Types of coupons - main
IAS_CRLIMIT_TMP,????? ????? ?????? - ???????,????? ????? ?????? - ???????,?????????????- ??????
IAS_CRLIMIT_TMP2,,,
IAS_CR_CARD_GROUP,ãÌãæÚÉ ÈØÇÆÞ ÇáÅÆÊãÇä,مجموعة بطائق الإئتمان,Credit cards
IAS_CR_CARD_TYPES,ÈíÇäÇÊ ÈØÇÆÞ ÇáÅÆÊãÇä,بيانات بطائق الإئتمان,Credit card data
IAS_CSH_CSTMR_LCTN,ÚäÇæíä ÇáÚãáÇÁ ÇáäÞÏííä,عناوين العملاء النقديين,Customer addresses
IAS_CSH_CSTMR_LCTN2,,,
IAS_CSH_CSTMR_LCTN_BRN,ÚäÇæíä ÇáÚãáÇÁ ÇáäÞÏííä,عناوين العملاء النقديين,Customer addresses
IAS_CSTMEASUR,,,
IAS_CSTMR_CNTCT_US,ÊæÇÕá ãÚäÇ,تواصل معنا,Contact us
IAS_CST_ACCNT,ÍÓÇÈÇÊ ÇáÚãáÇÁ,حسابات العملاء,Customer accounts
IAS_CST_CLAIM_DTL,,,
IAS_CST_CLAIM_DTLNEW,,,
IAS_CST_CLAIM_MST,,,
IAS_CST_CLAIM_MSTNEW,,,
IAS_CST_CLAIM_VST,,,
IAS_CST_CLAIM_VSTNEW,,,
IAS_CST_CMPNS_TYP,ÑÈØ ÇáÚãáÇÁ ÈÓíÇÓíÉ ÇáßãíÇÊ ÇáÊÚæíÖíÉ,ربط العملاء بسياسية الكميات التعويضية,Connecting customers to the policy of compensatory quantities
IAS_CST_COL,,,
IAS_CST_COMM_TMP,,,
IAS_CST_COMM_TMP2,,,
IAS_CST_COM_CALC_DTL,,,
IAS_CST_COM_CALC_MST,,,
IAS_CST_COM_CALC_SUB_DTL,ÊÍÕíáÇÊ ÚãæáÇÊ ÇáÚãáÇÁ - ÊÝÕíáí,تحصيلات عمولات العملاء - تفصيلي,Customer commissions collections - detailed
IAS_CST_COM_STP_DTL,,,
IAS_CST_COM_STP_MST,,,
IAS_CST_CR_TMP,,,
IAS_CST_CR_TMP1,,,
IAS_CST_CR_TMP2,,,
IAS_CST_CR_TMP8,,,
IAS_CST_DRIVERS,ÑÈØ ÇáÚãáÇÁ ÈÇáÓÇÆÞíä,ربط العملاء بالسائقين,Connecting customers with drivers
IAS_CST_DRVR,,,
IAS_CST_DVCS,ÈíÇäÇÊ ÇáÇÌåÒÉ ááÚãíá,بيانات الاجهزة للعميل,The devices of the devices for the customer
IAS_CST_EXPT_QUT_PRM,,,
IAS_CST_FINES,ÊÑãíÒ ÛÑÇãÇÊ ÊÃÎíÑ ÇáÓÏÇÏ ááÚãáÇÁ,ترميز غرامات تأخير السداد للعملاء,Coding delaying fines for customers
IAS_CST_GRP_LMT,,,
IAS_CST_IDNTFCTNS,ãÚÑÝÇÊ ÇáÚãíá,معرفات العميل,Customer identifiers
IAS_CST_ITM,,,
IAS_CST_ITM_ACTVTY,,,
IAS_CST_ITM_LMT_SAL,ÍÏæÏ ÇáÈíÚ ááÇÕäÇÝ ááÚãáÇÁ,حدود البيع للاصناف للعملاء,The boundaries of the sale for customers
IAS_CST_LMT_SAL,ÍÏæÏ ÇáÓÍÈ áãÈíÚÇÊ ááÚãáÇÁ,حدود السحب لمبيعات للعملاء,The boundaries of clouds for sales to customers
IAS_CST_LOCATIONS,ÑÈØ ÇáÚãáÇÁ ÈÇáãæÇÞÚ,ربط العملاء بالمواقع,Connect customers to sites
IAS_CST_LOCTN,ÑÈØ ÇáÚãáÇÁ ÈÇáãæÇÞÚ,ربط العملاء بالمواقع,Connect customers to sites
IAS_CST_MEASUR_DTL,ÊÓáÓá ãÚÇííÑ ÇáÊÞííã,تسلسل معايير التقييم,Evaluation standards sequence
IAS_CST_MEASUR_MST,ÊÓáÓá ãÚÇííÑ ÇáÊÞííã,تسلسل معايير التقييم,Evaluation standards sequence
IAS_CST_SMAN,,,
IAS_CST_VND_TMP,ÊÞÑíÑ ÍÑßÉ ãæÑÏ/Úãíá,تقرير حركة مورد/عميل,Movement report/customer
IAS_CURRENCY_VALUE,,,
IAS_CUR_DIFF_TMP,íÓÊÎÏã Ýí ÇáÅÞÝÇá ÇáÔåÑí áÝÑæÞ ÇáÚãáÉ - ãÄÞÊ,يستخدم في الإقفال الشهري لفروق العملة - مؤقت,It is used in the monthly closure of currency differences - temporary
IAS_CUSTOMER_ACCNT,ÍÓÇÈÇÊ ÇáÚãáÇÁ,حسابات العملاء,Customer accounts
IAS_CUSTOMER_CC_LMT,ÑÈØ ÇáãÑÇßÒ ÈÇáÚãáÇÁ - ÍÏ ÇáÏíä,ربط المراكز بالعملاء - حد الدين,Connecting centers to customers - Haddin
IAS_CUSTOMER_CC_LMT_RQ,,,
IAS_CUSTOMER_CC_LMT_RQ_RQ,,,
IAS_CUSTOMER_GROUP_PRIV,ÕáÇÍíÇÊ ãÌãæÚÉ ÇáÚãáÇÁ,صلاحيات مجموعة العملاء,The powers of the customer group
IAS_CUSTOMER_MEASURE,ÏÑÌÇÊ ÇáÚãáÇÁ,درجات العملاء,Customer degrees
IAS_CUSTOMER_RQ_SIGNS,,,
IAS_CUSTOMER_SIGNS,ÊæÞíÚÇÊ ÇáãæÑÏ,توقيعات المورد,Support signatures
IAS_DATE_LOCK_USER,ÊæÞíÝ ÇáÝÊÑÇÊ ÍÓÈ ÇáãÓÊÎÏã,توقيف الفترات حسب المستخدم,Stop periods by user
IAS_DATE_LOCK_USER_SCR,ÊæÞíÝ ÍÓÈ ÇáÔÇÔÉ æÇáãÓÊÎÏã æÇáÊÇÑíÎ,توقيف حسب الشاشة والمستخدم والتاريخ,"Stop according to the screen, the user and the date"
IAS_DEPT,,,
IAS_DESC_DOC,ÊÑãíÒ ÇáÈíÇä,ترميز البيان,Coding the statement
IAS_DETAIL_GROUP,ÇáãÌãæÚÇÊ ÇáÊÝÕíáíÉ,المجموعات التفصيلية,Detailed groups
IAS_DEVICE_TYPES,ÃäæÇÚ ÇáÃÌåÒÉ,أنواع الأجهزة,Types of devices
IAS_DFLT_DATA_ONLINE,"ÌÏæá ÇáÈíÇäÇÊ ÇáÇÝÊÑÇÕíÉ  GGJS,DR ÇáÇáßÊÑæäí","جدول البيانات الافتراصية  GGJS,DR الالكتروني","Ggjs, DR, Electronic Dr"
IAS_DFLT_PRICE_LVL,ãÓÊæíÇÊ ÇáÃÓÚÇÑ ÇáÅÝÊÑÇÖíÉ,مستويات الأسعار الإفتراضية,Virtual price levels
IAS_DIFF_DATA_TMP,,,
IAS_DISC_PAID_DTL,ÊÑãíÒ ÎÕæãÇÊ ÇáÓÏÇÏ - ÊÍáíáí,ترميز خصومات السداد - تحليلي,Payment discounts coding - analytical
IAS_DISC_PAID_MST,ÊÑãíÒ ÎÕæãÇÊ ÇáÓÏÇÏ - ÑÆíÓí,ترميز خصومات السداد - رئيسي,Payment discounts coding - major
IAS_DOCJV_TYPE_SYSTEMS_221115,,,
IAS_DOCJV_TYPE_SYSTEMS_MST_FR,,,
IAS_DOC_DEL,ÇáãÓÊäÏÇÊ ÇáãÍÐæÝÉ,المستندات المحذوفة,Deleted documents
IAS_DOC_PST_UNPST_TMP,ÊÞÑíÑ ÇáÓäÏÇÊ ÇáãÑÍáÉ æÛíÑ ÇáãÑÍáÉ,تقرير السندات المرحلة وغير المرحلة,Starting bond report and non -stage
IAS_DRIVERS,ÈíÇäÇÊ ÇáÓÇÆÞíä,بيانات السائقين,Drivers data
IAS_DRIVERS_ID,åæíÇÊ ÇáÓÇÆÞíä,هويات السائقين,Drivers identities
IAS_DRIVERS_TMP_K,,,
IAS_DRIVER_TYPES,,,
IAS_DR_CST_DTL,ÌÏæáÉ ÇáãÏíæäíÉ - ÊÍáíáí,جدولة المديونية - تحليلي,Decision of the debt - analytical
IAS_DR_CST_MST,ÌÏæáÉ ÇáãÏíæäíÉ - ÑÆíÓí,جدولة المديونية - رئيسي,Deciding on debt - main
IAS_DR_DET_PAID_TMP,,,
IAS_DR_DET_TMP,ÊÞÑíÑ ÇáãÏíæäíÉ,تقرير المديونية,Decide Report
IAS_DSTR_CPN_DTL,ÊæÒíÚ ÇáßæÈæäÇÊ - ÊÍáíáí,توزيع الكوبونات - تحليلي,Counseling distribution - analytical
IAS_DSTR_CPN_MST,ÊæÒíÚ ÇáßæÈæäÇÊ - ÆíÓí,توزيع الكوبونات - ئيسي,Counseling distribution - main
IAS_DSTR_CRD_DTL,,,
IAS_DSTR_CRD_MST,,,
IAS_DUE_CREDIT_CARD,ÑÞã ÇáäãæÐÌ,رقم النموذج,Form number
IAS_DUE_CREDIT_CARD_BK,,,
IAS_EMP,,,
IAS_EMP_COMM_TMP,,,
IAS_EMP_COM_CALC_DTL,ÅÍÊÓÇÈ ÇáÚãæáÇÊ,إحتساب العمولات,Reckoning
IAS_EMP_COM_CALC_MST,ÅÍÊÓÇÈ ÇáÚãæáÇÊ,إحتساب العمولات,Reckoning
IAS_EMP_COM_STP_DTL,ÊÑãíÒ ÇáÚãæáÇÊ,ترميز العمولات,Crossing commissions
IAS_EMP_COM_STP_MST,,,
IAS_EXCH_CUR_DTL,ÍÑßÉ ÚãáÇÊ - ÊÍáíáí,حركة عملات - تحليلي,Currency movement - analytical
IAS_EXCH_CUR_MST,ÍÑßÉ ÚãáÇÊ - ÑÆíÓí,حركة عملات - رئيسي,Currency Movement - Main
IAS_EXTRNL_SYS_OVR_WEB_API,,,
IAS_EXTRNL_SYS_SYNC_LOG,,,
IAS_EXTRNL_SYS_SYNC_LOG1,,,
IAS_EX_RATE_TRACE,ÊÊÈÚ ÊÛíÑ ÃÓÚÇÑ ÊÍæíá ÇáÚãáÇÊ,تتبع تغير أسعار تحويل العملات,Tracking currency transfer rates
IAS_FAVORITE_SCR,ÇáÔÇÔÇÊ ÇáãÝÖáÉ ááãÓÊÎÏã,الشاشات المفضلة للمستخدم,The user's favorite screens
IAS_FAVRT_CST_ITM,ÇáÇÕäÇÝ ÇáãÝÖáÉ ááÚãáÇÁ,الاصناف المفضلة للعملاء,Customer favorite items
IAS_FILL_DOC_PRIV,,,
IAS_FORM_NAME,ÃÓãÇÁ ÔÇÔÇÊ ÇáäÙÇã,أسماء شاشات النظام,The names of the system screens
IAS_FORM_NAME_FR,,,
IAS_FORM_NAME_OLD,,,
IAS_FREIGHT_DTL,ÈíÇäÇÊ ÇáÔÍä - ÊÍáíáí,بيانات الشحن - تحليلي,Shipping data - analysis
IAS_FREIGHT_DTL_PO,,,
IAS_FREIGHT_DTL_TMP,,,
IAS_FREIGHT_MST,ÈíÇäÇÊ ÇáÔÍä - ÑÆíÓí,بيانات الشحن - رئيسي,Shipping data - main
